country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,1,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,3,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,4,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,5,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,6,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,7,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,8,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,9,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,10,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,11,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Democratic Republic,12,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Republic,13,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,14,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,15,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,16,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,17,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,18,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,19,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,20,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,21,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,22,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,23,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,24,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,25,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,26,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,27,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,28,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,29,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,30,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,31,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,32,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,33,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,34,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,35,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,36,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,37,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,38,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,39,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,40,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,41,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,42,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,43,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,44,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,45,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,46,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,47,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,48,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,49,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,50,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,51,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,52,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,53,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,54,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,1,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,3,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,4,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,5,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,6,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,7,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,8,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,9,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,10,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,11,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Democratic Republic,12,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Republic,13,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,14,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,15,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,16,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,17,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,18,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,19,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,20,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,21,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,22,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,23,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,24,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,25,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,26,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,27,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,28,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,29,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,30,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,31,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,32,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,33,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,34,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,35,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,36,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,37,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,38,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,39,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,40,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,41,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,42,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,43,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,44,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,45,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,46,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,47,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,48,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,49,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,50,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,51,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,52,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,53,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,54,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,1,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,2,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,3,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,4,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,5,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,6,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,7,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,8,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,9,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,10,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,11,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Democratic Republic,12,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Congo Republic,13,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,14,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,15,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,16,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,17,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,18,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,19,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,20,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,21,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,22,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,23,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,24,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,25,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,26,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,27,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,28,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,29,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,30,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,31,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,32,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,33,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,34,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,35,Population with access to electricity-National,Millions of people,Electricity,Access,Population with access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
